"SGENDER","SGAREDU","SEDUASPR","SMATINT","STCHRCAP","SMATEFF","TCAREER","TGENDER","TAGE","TMAJMATH","TMAJME","TSTUTEXP","TSTUPEXP","TSTUSEXP","TSTUCAP","TSTURES","TCOLLAB","TSATIS","TPASSION","TCRWD","TOVERADM","TPDMCP","TPDMCF","TPDMDP","TPDMDF","TPDMEP","TPDMEF","TPDSVP","TPDSVF","TPDTIME","TSTUPC","TLACKK","TLACKI","TPRIK1","TPRIK2","TPRIK3","TPRIK4","TPRIK5","TPRIK6","TPRIK7","TPRIK8","TPRIK9","TPRIK10","TPRIK11","TPRIK12","TPRIK13","TPRIK14","TPRIK15","TPRIK16","TPRIK17","TPRIK18","TPRIK19","TPRIK20","TPRIK21","TPRIK22","TMTIME","TINSSTG1","TINSSTG2","TINSSTG3","TINSSTG4","TINSSTG5","TINSSTG6","TINSSTG7","TINSASK1","TINSASK2","TINSASK3","TINSASK4","TINSASK5","TINSASK6","TINSASK7","TINSASK8","THWFRQ","THWTIME","THWSTG1","THWSTG2","THWSTG3","THWSTG4","THWSTG5","THWSTG6","THWSTG7","THWSTG8","THWSTG9","THWSTG10","SCHPOOR","SCHKOR","SCHPOP","MATACH"
"1",6,5,2,1.857142857,3.555555556,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,740.06703
"1",8,5,1.3,1.142857143,3.222222222,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,734.990426
"0",4.5,5,3.7,3,2.555555556,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,581.358954
"0",6.5,5,3.7,3.285714286,1,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,593.774344
"0",6,5,1,1,3.666666667,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,610.758834
"1",5.5,2,2.9,3,2.555555556,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,588.827752
"0",6,5,2.9,2.857142857,2.111111111,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,515.499344
"0",8,2,2.8,2,2.777777778,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,549.858498
"0",8,2,2.5,2.285714286,2.444444444,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,522.058758
"0",6,5,2.6,2.142857143,2.555555556,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,602.643024
"0",8,4,1.9,1.857142857,2.444444444,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,633.263506
"1",8,5,2.8,2.428571429,1.666666667,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,557.56228
"0",8,4,1.4,1.857142857,3,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,685.034546
"1",7,5,2.8,2.285714286,2.333333333,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,619.36559
"0",6.5,5,1.8,2,2.888888889,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,579.00624
"0",4.5,6,3.1,3.428571429,3.333333333,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,701.80604
"1",6.5,5,2.4,2,2,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,654.95126
"0",8,5,1.1,2,3.333333333,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,793.38022
"0",8,5,2.8,2,3.111111111,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,735.427182
"1",7,5,2.2,1.285714286,2.444444444,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,661.054336
"1",8,5,2.8,3.571428571,2.222222222,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,575.613224
"0",5.5,5,2.7,2,2.666666667,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,725.275212
"1",7,5,2.4,1.285714286,2.222222222,5,"1",3,"0","1",3,4,3,3,3,3,3,3,4,3,"2","2","1","1","2","2","2","1",5,26,2,1,"1","1","1","1","1","1","2","0","2","0","2","1","0","0","2","1","1","1","1","1","2","2","360",3,3,2,2,4,4,1,3,3,3,4,4,4,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,1,7,670.370278
"1",6,5,2.6,2,2.555555556,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,702.001432
"0",6,5,2,1.857142857,2.777777778,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,742.586762
"1",6,5,2.1,2.285714286,3.777777778,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,582.951872
"0",6,5,2.6,2,2.111111111,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,611.969876
"0",7,6,1.5,1.714285714,3.555555556,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,722.440126
"1",6,5,2.8,1.285714286,2.666666667,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,652.372414
"1",6.5,5,3.1,2.285714286,2.111111111,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,605.620452
"0",6.5,5,2.4,1.857142857,2.111111111,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,637.050678
"0",8,5,2.7,2,2.444444444,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,604.96347
"0",5,4,2,2,2.555555556,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,615.364752
"0",8,5,1.2,1.142857143,3.444444444,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,615.679202
"1",8,5,1.8,1.142857143,3.666666667,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,584.107248
"1",8,5,2.6,2,2.333333333,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,697.642908
"1",6,5,2.2,2.142857143,2.111111111,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,566.92457
"1",4.5,5,2.4,2,1.888888889,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,645.441364
"0",6.5,5,2.1,1,2.888888889,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,750.595402
"1",7,5,2.6,1.142857143,2.222222222,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,649.060962
"1",6.5,5,2.5,2.142857143,2.222222222,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,588.890536
"0",6,5,1.9,2,3.666666667,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,751.835816
"1",6,5,1.2,1,3.555555556,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,751.426336
"0",6,5,2.9,2.285714286,2.222222222,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,2,3,1,1,3,3,1,1,6,566.571082
"1",6,5,3.7,2.571428571,1,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,589.339694
"1",8,6,1.9,2.142857143,3.444444444,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,647.024728
"1",6,5,3.5,1,2.333333333,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,538.223984
"1",6.5,4,2.5,2,2,12,"0",4,"0","1",4,5,5,5,4,5,3,4,2,3,"2","1","2","1","2","1","2","1",4,30,2,2,"1","1","1","1","1","1","2","2","2","2","2","1","0","2","2","2","2","2","0","0","2","2","270",4,3,3,3,3,4,3,2,3,3,4,4,3,2,2,5,3,1,3,3,2,1,3,1,1,3,3,1,1,6,571.502374
"1",8.5,6,3.1,1.857142857,2,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,615.854084
"1",6,5,2.1,2.285714286,2.888888889,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,652.90457
"1",3,5,3.4,1.428571429,1.444444444,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,598.527046
"1",8,4,2.8,2.285714286,2,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,625.351078
"1",3,5,2.4,2.142857143,2.666666667,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,606.325572
"1",6,5,3.5,2.714285714,1.888888889,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,532.00643
"1",8,5,2.3,2.142857143,2.777777778,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,637.365332
"1",6,5,2.2,1.857142857,2.444444444,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,599.941984
"1",8,5,1.7,2.142857143,3,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,655.546766
"1",8,5,2.8,2.142857143,2.444444444,21,"1",4,"1","1",4,5,4,4,4,4,4,4,2,2,"1","1","1","1","1","1","1","1",4,21,2,2,"1","1","1","1","1","2","2","2","2","2","2","1","0","0","2","1","0","1","1","0","2","0","180",2,2,4,4,4,4,3,3,3,4,4,4,4,4,1,4,1,3,3,3,2,3,3,2,1,3,1,2,1,7,516.115348
